,equity_equal_weight__base,equity_equal_weight__tilt,equity_min_variance__base,equity_min_variance__tilt,equity_max_sharpe__base,equity_max_sharpe__tilt,equity_risk_parity__base,equity_risk_parity__tilt,combined_equal_weight__base,combined_equal_weight__tilt,combined_min_variance__base,combined_min_variance__tilt,combined_max_sharpe__base,combined_max_sharpe__tilt,combined_risk_parity__base,combined_risk_parity__tilt
2023-06-21,-0.0031648906733249046,-0.003648882061310676,-0.0010622398348394224,-0.0014736532413042894,0.0048204735399186285,0.004334350629750385,-0.0018084716390126218,-0.0021752977009287617,0.008886569154665692,0.009066575067568344,-0.0011443598148344236,-0.0015503815921537496,0.006064284914529181,0.005716676298784412,0.0042530857554636,0.004337257751819196
2023-06-22,-0.005592422870120342,-0.006021848653664885,0.008440090394708038,0.00815354837028665,0.005191093727146073,0.004356353490360086,-0.003708899155543942,-0.00425040585431688,-0.005267702939070902,-0.005606503455609134,0.008308241854362505,0.007995884618511735,0.004019334114017672,0.0031484249661031362,-0.003607693080671571,-0.004106323801267572
2023-06-23,-0.007259581439822718,-0.007123502432496954,-0.005805631129473968,-0.00584443047695225,-0.004155616413006034,-0.004875296426358567,-0.007318287219413614,-0.007208407962586811,0.006400617430051085,0.007169730433961308,-0.00571792825392407,-0.005764158697881133,-0.003093878457884752,-0.003694801594420301,-0.0006682791932547986,-0.000114165924018254
2023-06-26,0.006682503230795585,0.006900294961797756,0.00018251550480425386,0.0007944731036150545,-0.007028445435665024,-0.007231880558019829,0.006335595586126872,0.006748585481500602,0.006565141694990467,0.006739246576842977,0.00030775900702100797,0.0009396092877981366,-0.008377672512852794,-0.008603665437491052,0.006258014471758816,0.006643858201279013
2023-06-27,0.007222896182025428,0.007668585600683854,0.002045667581670533,0.0025072250766732147,0.00790932032583858,0.008531124057174277,0.0051695536778405176,0.005596105055568603,0.009790980390278446,0.010282294277637433,0.0021914155035488688,0.0026528461903003136,0.007741322230552884,0.008292880200578074,0.006569208761910158,0.007067116379657358
2023-06-28,-0.0017040372863230946,-0.0015420844685934496,-0.0045308918222185385,-0.0043878721966205455,0.0039531981767404805,0.004101740609880241,-0.002093122887156195,-0.0018792880188137607,-0.00808080814049297,-0.008253750674680694,-0.004382922753265525,-0.004234588386250548,-0.00011526045459666484,-0.00019018617793364846,-0.005152003617256679,-0.005158858083778833
2023-06-29,0.006333876012833468,0.006361333620058231,-0.0017821865879214002,-0.0014619429196766885,0.00562780331152969,0.005269160318609389,0.0057010477804227255,0.005819950533438854,0.010228184796819903,0.010438090726470797,-0.0015871832660691123,-0.0012601780278867422,0.007173447702903461,0.006950853083504228,0.007657189298681657,0.00790359233521887
2023-06-30,0.008314033679412115,0.008516091910065561,0.0064487258756821715,0.006115557919111621,0.018927667730153218,0.0193161379196124,0.00826674832879331,0.00833688044336618,0.022603202991231905,0.023457011859691127,0.006463735213224395,0.006120858902570902,0.016786874613482033,0.01699639330510969,0.015196129333121481,0.015723772591110824
2023-07-03,0.005677130992006776,0.005736318292204204,0.003745268087902943,0.003820496302651258,-0.009854689136575277,-0.00955815603664684,0.00532012365496571,0.005400147649501784,0.003877257598172458,0.003781279173424182,0.0037220095159507596,0.003821890932394388,-0.010974967738151245,-0.01082442638752749,0.004567578704642517,0.004577040726862183
2023-07-05,-0.004240653464778885,-0.004322873173652868,0.0028602399126515933,0.0027432999410629583,0.00013030905175248416,3.460034580331576e-05,-0.002541138269950748,-0.0026028061851437255,-0.006060561334685032,-0.006268832183667126,0.002611563350767725,0.0024964342138690246,-0.0005319795144865864,-0.0006784653550847297,-0.003440648075645444,-0.0035919589291140584
2023-07-06,-0.012084138933912192,-0.011851828008653224,-0.007816153770467089,-0.007674267905854915,-0.012017938883191446,-0.011922173648181636,-0.011746754224894941,-0.011530901582577895,-0.014258838320504313,-0.014236508288310712,-0.00792176960133737,-0.007751030225542908,-0.010957590462992276,-0.010706665998374887,-0.012801922815310573,-0.012702844377244055
2023-07-07,0.0006819149565187499,0.0003275964578392364,-0.014376284304749227,-0.014168110291555023,-0.0025845481211906004,-0.002493383236017741,-0.0019217149569317035,-0.002157621423247482,0.0035620926596644236,0.0034942491605477527,-0.013928361995483137,-0.013699809803620625,-0.0025416877939558164,-0.002392382357942493,-0.00033514190736766387,-0.00038976410569644445
2023-07-10,0.004779669698334353,0.004628577158146133,0.0008976930704179673,0.000946058746147147,0.014025068874857093,0.013538069316755398,0.0043273339872398385,0.004154512553394408,0.006097554230657368,0.00607556307346767,0.000859230910985195,0.0008728707613442727,0.015128954376757356,0.014847402343304743,0.004945879697663235,0.004843592509473817
2023-07-11,0.014211688018259465,0.013971337311172945,0.008040573610255014,0.008726334647641752,0.000895833090703724,0.0008882664560931027,0.013144869186693432,0.013058972745158168,0.01189302313810753,0.011516424535884019,0.00818046455267091,0.00885177622512186,0.00024969243002691006,0.0002102723628022084,0.011828311426425434,0.011649403415648147
2023-07-12,0.00823735096035434,0.008413259006950304,-0.001456709453156463,-0.0017121096016673696,0.0010688191721300918,0.0016757630300709213,0.006784944448855504,0.006900360860631443,0.006143557144120819,0.006125872175316794,-0.0016990760377232038,-0.001959900402614763,0.0018962814533629996,0.002599692179628667,0.005708214191955345,0.005723924717924782
2023-07-13,0.005613289998631371,0.005966071998292188,0.0025051959241140904,0.0026304381434936823,0.0024111131524845826,0.003243445869877775,0.004441329474873573,0.004721166427151721,0.037260963080475606,0.03999912591427804,0.002464125661937093,0.0026542076961681652,0.014773752618969578,0.017127724139638312,0.021691127897060673,0.023491477346540543
2023-07-14,-0.006609687433745771,-0.006402084870864693,0.004635004696950134,0.00438923026172104,-0.0033777810562957457,-0.0034371844468564575,-0.005165283661615537,-0.005028616505938093,-0.015765993628187,-0.016304134560075314,0.0039390232996178755,0.00368697053368821,-0.006996185557391224,-0.007552513804269989,-0.009999005219212986,-0.010322220161492788
2023-07-17,-0.0035596088175880555,-0.003314208564792015,-0.004011657092263597,-0.004037679510254086,0.0024792288280591946,0.002725125393433342,-0.0049791448820501304,-0.004871562876585754,-0.0036493398954162443,-0.0034549472202986876,-0.00446652446768534,-0.0045282047568184014,-0.00015855337232604797,-0.00019323523572342165,-0.005106661485168252,-0.005016858563929607
2023-07-18,0.005936202752823029,0.005983738793892609,0.000554849294598071,0.000582907073148341,0.0028942757231617093,0.0033071112112894535,0.004823806177772571,0.0048404952616261645,0.005054130851559697,0.005024881211567778,0.0006454837197632782,0.00067711754579992,0.004207980010168393,0.004733507887449142,0.004514130574491218,0.004500572668640832
2023-07-19,0.006037952272526241,0.006127029903520916,0.007785812260395113,0.007648260021533277,-0.006733184336381378,-0.00672771393324265,0.006588942287369459,0.006703912299064177,0.009944158028720694,0.0103194819171478,0.007978246976675561,0.007889790959153589,-0.005032238294967234,-0.004829693834929748,0.008844015204918896,0.009149446106278736
2023-07-20,0.0017480758015509055,0.0011444613490270705,0.014865105793079397,0.014676634211577035,0.010692926167279446,0.00988276221512918,0.005118410560641704,0.004639473773638003,0.0014145962126503103,0.0008935653814977345,0.015062687832670252,0.01486989440327597,0.009700829550079495,0.008806544599657129,0.005049961359918984,0.004587526813596477
2023-07-21,0.004489892359851595,0.004433063718026576,0.005480976181220269,0.005422748180726346,-0.0023488391495562087,-0.002694628607171503,0.005599901320955892,0.0055363212046875354,0.0034909232161122435,0.003367003988536909,0.005650351332604284,0.005580980253858918,-0.0015939476959600679,-0.0018816043266465337,0.004967761306498736,0.00484613813942593
2023-07-24,0.005464941830862187,0.005395525336522929,0.0008025868707358086,0.0009361633077352181,-0.0029855710221276025,-0.002886688268576781,0.004438339471717794,0.004425278354773298,-0.0019643631749951666,-0.002596154855549675,0.000754489519684299,0.0008557196275439436,-0.006544334342823981,-0.006843366530924483,0.0005031125003760938,0.00015178293895142273
2023-07-25,0.0034160131953540483,0.0032502305308370802,-0.0029428976773099246,-0.0027941967235478983,0.03393970394316818,0.03339265172068677,0.0019890020086476908,0.0018358427103120746,0.0029219394502740556,0.0027476963485408962,-0.0028359527586403364,-0.0026794126249614,0.030296555873951456,0.029485978672978006,0.0017688399378808447,0.0016247280802036154
2023-07-26,0.0021904630775948686,0.0021010816462325825,0.0040793057117584994,0.0038759548210268594,-0.012651904634370622,-0.012435473501228025,0.002171734664682245,0.00212606305362383,0.004385740905184214,0.004482267847687452,0.0038556194417728898,0.003679141756747577,-0.01047628156707449,-0.010020217746006812,0.0033811087239559684,0.003449972375766721
2023-07-27,-0.004634011643839128,-0.0045257351953107905,-0.007193888082149869,-0.007426712920807096,-0.0004163093189113131,-0.0003405545327972617,-0.005156235208827092,-0.005154690306816425,-0.0034876241260207155,-0.003310088742177559,-0.007025072120542479,-0.007266207477048841,-0.00039609564519036615,-0.0002577854894823206,-0.004467566021195269,-0.004412860341196594
