,equity_equal_weight,equity_min_variance,equity_max_sharpe,equity_risk_parity,crypto_equal_weight,crypto_min_variance,crypto_max_sharpe,crypto_risk_parity,combined_equal_weight,combined_min_variance,combined_max_sharpe,combined_risk_parity
2022-09-12,0.008484821861791864,0.007482826140803506,0.010930815591192996,0.00857209490412776,-0.007453641423881051,0.018343789137747257,-0.003079269180967126,-0.005982254513690091,0.0058284113141797095,0.00794233219606083,0.0100576130956889,0.007762532036227446
2022-09-13,-0.040049309985713,-0.030156785603733728,-0.02310521615706744,-0.03663084935427528,-0.07111080127953137,-0.0822355700180846,-0.059186149317162054,-0.07153416373641912,-0.0452262252013494,-0.030123453619623076,-0.023481054309822336,-0.03843498488110575
2022-09-14,0.0031318623014507806,0.006441377035455394,0.022722443697985418,0.0035907754302392752,0.02134357991808681,0.00016264610534171415,0.08926133870400421,0.018392424933295303,0.006167148570890119,0.006371172491328261,0.02188133428569238,0.0046247894996342825
2022-09-15,-0.016171537094844503,-0.01146650343841628,-0.02091333535125792,-0.015076296371700125,-0.04826521767813677,-0.023716688494594115,-0.09488338092589466,-0.04557899339693365,-0.021520483858726545,-0.010995961884157449,-0.020360596130823548,-0.01688247224837977
2022-09-16,-0.007247144972022488,0.0015560925348568485,-0.008405368991350833,-0.004774245475091574,0.0130507130129396,0.00977215653029901,-0.04335069004224468,0.015002073198942369,-0.003864168641195474,0.0011360672118560305,-0.0072850802864853625,-0.0033267365066023125
2022-09-17,,,,,0.031041752444428396,0.022986860703671712,0.011277586497009167,0.03153414243803305,,,,
2022-09-18,,,,,-0.07844006705083154,-0.035527650067226156,-0.1421599601907424,-0.07370926873486569,,,,
2022-09-19,0.006236594572679689,0.0034886546941582924,0.004190707667627305,0.00548136569650981,0.022050621841714125,0.009127896023846352,0.029809156699880383,0.021662471874214467,0.008872265784185427,0.0035915064773394227,0.004202540517740522,0.006447634718969281
2022-09-20,-0.015572445225681552,-0.012570928973525427,-0.008742060239017196,-0.015051927541229661,0.00012092982397091719,-0.018246736462837414,-0.04128723001847179,0.0013557608930028376,-0.012956882717406143,-0.012965566980686965,-0.00887766139796331,-0.014028714930503361
2022-09-21,-0.01695516019963178,-0.01263524766363493,-0.015013557807928127,-0.016259687152216297,-0.039127276267486556,-0.021207195836406824,-0.04294938850065355,-0.038120821189624794,-0.02065051287760758,-0.012808374599312512,-0.015178391633231219,-0.017530294499430592
2022-09-22,-0.009265739650809665,0.0039398452034797365,-0.002469796503165554,-0.005720158707083617,0.06731721632356923,0.05165247328688587,0.025887440379298368,0.06922026936225392,0.00349808634492015,0.0036234903122430964,-0.0017545846627107097,-0.0007859376431053815
2022-09-23,-0.022218416288988612,-0.015539351754467655,-0.038522232033585485,-0.019983880921723065,0.011085161822327872,-0.0028334349667482788,0.009999796840097556,0.010843567976411353,-0.016667819937102535,-0.016066060276656503,-0.036198533914589354,-0.017945798549883287
2022-09-24,,,,,-0.021096523709983692,-0.01979004674713238,-0.006731812387183791,-0.021602461993422698,,,,
2022-09-25,,,,,-0.013323073667573293,-0.006033552944085137,-0.013922913810476613,-0.01264317226319235,,,,
2022-09-26,-0.016062688619373502,-0.011006061765534866,-0.019075842950749013,-0.015274132922333077,0.002677652663144337,0.010706217363531391,0.004158259638217031,0.0022858089541843577,-0.01293929840562053,-0.010806362172875564,-0.018746947801221474,-0.01413637291826895
2022-09-27,-0.003665789050752121,-0.007567333905288526,-0.0017626510677753024,-0.005434181260109614,-0.01530393045398919,-0.008418192379774755,-0.010526778122594395,-0.015337837407470686,-0.005605479284624965,-0.006709962745550276,-0.0023115369091910106,-0.006150311303966763
2022-09-28,0.021300718433708198,0.020533949715210623,0.030939402350993028,0.020470208293739686,-0.0012962799289126913,0.01016866531216958,-0.01684129131769696,-0.00024190351146313445,0.01753455203993805,0.021342190347050226,0.029940643921528773,0.019125226058449636
2022-09-29,-0.019865724827656667,-0.017406349797463205,-0.013029417428244034,-0.019835912981598924,0.026085138651090946,0.017919561314749467,0.004981862392405173,0.027048027188514515,-0.012207247581198727,-0.016785692201124892,-0.01365097824806732,-0.016911109855568148
2022-09-30,-0.014866290633047613,-0.016990064735507647,-0.01743223285810124,-0.01533034279347426,-0.004491731472247418,-0.006174332479,-0.002951363882658819,-0.004555085427184026,-0.013137197439580913,-0.016829601896071487,-0.017644877180987523,-0.014663640009171131
2022-10-01,,,,,0.0008534505682332936,0.000767558928470686,-0.006454573158777069,0.0010486962585818972,,,,
2022-10-02,,,,,-0.025340823712240203,-0.009560973000725963,-0.022395315271052662,-0.024207330942616095,,,,
2022-10-03,0.0321847780436476,0.02393850998310656,0.03728219483741871,0.030303357617419126,0.02177381961999727,0.019505655553441,0.019875575361258512,0.021510669429725352,0.030449618306372543,0.024453469681977924,0.036797307555169495,0.029587071046036743
2022-10-04,0.02965210942898404,0.020317729023325758,0.02984780881571113,0.02683367788156549,0.024596952998144017,0.02872366686729004,0.017330183060149783,0.02510338477274589,0.028809583357177367,0.020642128860015402,0.02956097449706712,0.026397402369441766
